PEZPUG    -1.4063877    1.81959473    1.9019    -1.98420527    0.15    0.03    0.07174    2.0205389    1.939515528    -1.858492156    6.626918    -1.2713231    1031.893    208    0.800765038    3.25734    404
PHNAPH    -0.3989044    0.80645588    0.917913424    -1.029370968    0.352    0.354    0.0731    1.2035155    1.003467678    -0.803419856    6.5443458    -2.1086686    945.913    92    0.876406778    3.5229    376
POBPIG    -0.8010315    1.235    1.2883    -1.3416    0.0169    0.06    0.09642    1.4687914    1.298343674    -1.127895948    6.4950529    -1.9354548    1008.427    192    0.84357026    3.3752    400
POBPIG06    -0.7475579    1.20272142    1.290733368    -1.378745316    0.12277    0.15005    0.08594    1.4687914    1.298343674    -1.127895948    6.4950529    -1.9354548    1008.427    96    0.832131205    3.311105446    400
PUNVEA    -3.913801    3.27560402    3.3083    -3.34099598    0.0336    0.024    0.01112    3.4202147    3.301163141    -3.182111582    6.4225118    -0.6833781    2511.608    528    0.741546412    2.97463    990
PUNVIE    -2.6178759    3.19676503    3.2219    -3.24703497    0.0375    0.1    0.02211    3.4195054    3.205323878    -2.991142356    6.9749163    -0.4959655    1166.433    124    0.73483231    2.96296    458
PYRCEN    -1.5229962    2.75315362    2.7992    -2.84524638    0.521    0.19    0.08046    3.1714738    2.79357159    -2.41566938    7.0159692    0.5005948    462.622    52    0.824275937    3.4658    180
PYRPYR10    -1.395927    1.80212502    1.8519    -1.90167498    0.158    0.08    0.05945    2.1542285    1.920003854    -1.685779208    6.4770109    -1.0917278    940.484    184    0.874892805    3.52116    376
QQQCIG13    -0.24    1.361343    1.28324554    -1.20514808    0.06532    0.06543    0.01294    1.4816762    1.195072932    -0.908469664    6.0819631    -1.4224547    1340.852    140    0.789834091    3.167304281    532
QQQCIG14    -0.53    1.18090885    1.186725788    -1.192542726    0.45476    0.15433    0.11069    1.4816762    1.195072932    -0.908469664    6.0819631    -1.4224547    1340.852    70    0.802518725    3.231497982    532
QUATER10    -0.30585278    0.62619135    0.7    -0.77380865    0.0483    0.191    0.07801    0.9137977    0.75750356    -0.60120942    5.656533    -2.0178753    1253.47    240    0.916095811    3.70977    500
QUPHEN    -1.7092404    2.35137234    2.3816559    -2.41193946    0.15298    2.58417    0.04875    2.6908665    2.499521592    -2.308176684    6.8165202    -0.9123458    785.131    84    0.813329426    3.322670595    306
