name,IP,EA,Et,gap
2234776/,8.540865325,-1.796413426,2.093659354,2.1879104
9011415/,8.414580437,-1.58901079,2.065152746,2.14565818
4031314/,7.579515389,-1.326797961,1.861376829,2.06201571
2219807/,8.33265789,-2.009768842,2.046346004,2.08312239
7204487/,7.308047822,-1.81363491,1.796129897,1.83997727
8000017/,6.338304433,-1.165663965,1.558424594,1.46894981
4113699/,7.685296734,-1.490849886,1.892521089,2.23557345
7053193/,6.121984347,-1.699097765,1.507685169,1.62869038
4027517/,6.973373782,-0.794105008,1.717382027,1.97887751
4511813/,7.268073128,-1.92145753,1.790872249,2.03891938
4503804/,8.159182268,-1.741895501,2.012670365,2.09149478
1502120/,7.212425871,-2.052980262,1.779310416,1.85777481
2012554/,7.833577726,-1.221946725,1.934077691,2.09261768
7202969/,6.14865982,-0.927417315,1.518348245,1.78480387
4024122/,7.723390489,-1.560863287,1.910454187,2.13192678
2009555/,6.668401905,-1.345603612,1.652327212,1.78077744
4028103/,7.485222327,-2.008998602,1.856687927,2.05643624
4508999/,7.298943376,-2.160863701,1.813724735,1.93850797
2201484/,6.912258347,-1.503770765,1.718214541,1.87214298
1515000/,7.267059156,-1.771843836,1.807629423,2.06726541
1518200/,6.701902102,-1.621965397,1.667385337,1.698063
7101362/,7.226946937,-1.824042572,1.79896437,1.90984042
4028586/,6.241757382,-0.681193211,1.555356446,1.72402434
2237442/,6.834800105,-1.459207378,1.703279346,1.83243369
2219889/,7.856947145,-1.529519386,1.95825392,2.08233529
2226427/,7.714044332,-2.085600519,1.923849265,1.99266706
2236892/,6.264980986,-1.6894079,1.563175537,1.73441139
2102786/,8.917842559,-2.184429322,2.22679251,2.26040386
2008400/,7.852585884,-0.936769404,1.96081815,2.22604486
4085610/,7.488982524,-1.445826439,1.871773546,1.95686645
7101371/,6.505873285,-1.377882932,1.627666751,1.65742425
7153806/,7.776724279,-1.61741073,1.94839487,2.02177816
2238201/,8.589116225,-2.321847021,2.153561781,2.31936135
7101370/,6.589595287,-1.395536397,1.652835595,1.6778305
2105564/,8.405573633,-1.553471024,2.108599383,2.18415642
2222991/,7.401443065,-1.648701437,1.858752984,2.07238505
4116117/,6.144001106,-1.503406858,1.544478465,1.73977825
2202571/,8.923219119,-2.138121873,2.243832685,2.28588625
7218991/,6.776537796,-1.110851952,1.705244281,1.90516777
