prefix et_xtal gap_xtal
7106403/ 1.7296124210988637 1.64571678
7109005/ 1.7007111145940144 1.3674379
7109189/ 1.1364687266977853 1.07063081
7109249/ 0.9607142906970694 0.89136537
7109250/ 0.9427329379977891 0.90093242
7109311/ 1.309151016001124 1.2221401
7112222/ 1.2209556391026126 1.11691601
7112615/ 1.5690741879952839 1.53641316
7116632/ 1.904671511198103 1.85282525
7150524/ 1.1717558221062063 1.08015656
7150964/ 1.2522477610982605 1.30035111
7151921/ 1.8689547879912425 1.76733695
7151922/ 1.7544495400215965 1.7180847
7152888/ 1.703949372000352 1.59297738
7153806/ 1.8040163753030356 1.70638962
7153817/ nan 1.96257705
7154005/ 1.475075464200927 1.13543001
7154635/ 1.6043797431048006 1.35888085
7154969/ 1.5459872397914296 1.41396624
7154970/ 1.5722508856997592 1.4072451
7200918/ 1.511338935510139 1.03570399
7201186/ 1.7542951908981195 1.58164457
7202511/ 1.265410638301546 1.14088008
7204088/ 1.6050122149972594 1.58358913
7204487/ 1.6284621646991582 1.53035654
7204616/ 1.2581639909985824 1.23135632
7204618/ 1.3312732403064729 1.28458722
7205532/ 1.7320006071968237 1.62935962
7206387/ 1.2778888741013361 1.14418805
7207509/ 0.7032729409984313 0.60088354
7213065/ 1.642072448390536 1.56496677
7213267/ 1.415595084996312 1.07238069
7217840/ 1.1930672916932963 1.08306095
7218759/ 1.7794769251995604 1.70549157
7218991/ 1.726958514394937 1.71666557
7220202/ 2.0092751344054705 2.0039624
7223873/ 1.4668728385004215 1.40455957
7226343/ 1.7276207443028397 1.67871699
8000017/ 1.2659455530229025 1.17434918
8100528/ 1.2512555681023514 1.24760404
8100630/ nan 1.42317977
8100631/ 1.3756858294073027 1.25008953
8101221/ 1.3523930812007166 1.25579489
9011415/ 2.0947296320009627 2.00399934
